Date,Volume,TV,Non TV,TP,CP,Dealers,Wtd Dt,Price
01-10-2001,855.467,,,3601.44627,15413.46724,16,43,14673.184
01-11-2001,840.407,,,756.85773,15953.29744,19,44,14711.318
01-12-2001,868.16,922.6,,3118.70284,17147.73255,19,44,14711.447
01-01-2002,942.163,1328.5,154471.2,576.94229,1247.430879,19,44,14768.341
01-02-2002,850.784,2075.1,126568,3011.4515,7088.22665,19,44,14768.32
01-03-2002,908.742,2211.3,54551.25,2317.41672,9363.39996,19,45,14861.953
01-04-2002,879.428,1612.9,54551.25,3167.23746,21868.4592,19,45,14861.953
01-05-2002,937.691,1422.6,65442,6180.9395,18034.04619,19,46,14967.886
01-06-2002,908.269,671.9,200694,7308.27751,23187.70218,19,46,14967.868
01-07-2002,915.475,1415.1,189714.85,6943.10808,36594.41855,20,47,15002.455
01-08-2002,914.215,1321,205129.6,5394.736,36460.97889,20,47,15004.55
01-09-2002,1132.959,1712.8,65390,5728.73466,37148.43715,21,50,14521.652
01-10-2002,1170.725,1467.2,141284,2507.98859,40934.08192,21,50,14521.653
01-11-2002,1100.456,385.8,19916,70.35489,30321.9796,20,48,14698.056
01-12-2002,1119.486,272.9,153660,3978.31368,27979.74254,20,48,14680
01-01-2003,1225.379,104.8,67600,56.39905,11602.92289,22,49,14830.148
01-02-2003,1107.395,74.8,,690.69199,13358.90149,22,49,14831.585
01-03-2003,1151.784,444.2,,1780.28417,8402.067516,23,50,15397.828
01-04-2003,1114.63,559.4,,5509.45714,20540.99187,23,50,15397.829
01-05-2003,1178.23,383.5,,1346.92925,28230.36741,23,51,15504.272
01-06-2003,1140.222,513.3,238017,7283.3062,31886.43616,23,51,15504.273
01-07-2003,1265.062,229.4,294489,6850.45175,39901.20208,24,52,15687.246
01-08-2003,1265.062,550.9,117234,4802.70554,38679.30916,24,52,15687.244
01-09-2003,1401.396,371.3,151138,4768.90901,49572.25661,25,54,15410.821
01-10-2003,1446.968,606.8,31590,10860.94183,59487.37235,25,54,15411.104
01-11-2003,1342.685,675.6,,7188.00207,53867.24008,22,51,16511.966
01-12-2003,1296.36,345.1,,-438.47273,66518.76777,22,51,16103.032
01-01-2004,1588.427,15.2,,1922.21157,4759.767643,23,51,15805.331
01-02-2004,1492.651,224.4,81744,5859.31012,8155.905737,23,53,15604.866
01-03-2004,1478.524,941.4,211783,3938.99457,13192.05419,23,53,16249.278
01-04-2004,1450.654,626.3,120068,2167.94216,16299.34096,23,54,16486.119
01-05-2004,1608.52,885.4,254202,-1426.59743,20173.03141,24,55,16383.265
01-06-2004,1544.952,948.3,128375,20414.33436,17478.90263,25,55,16899.058
01-07-2004,1707.498,18.5,13312,1723.77892,24889.17835,25,57,17344.59
01-08-2004,1597.795,17.1,54054,6924.98972,29852.69027,26,58,17189.435
01-09-2004,1611.739,671.1,139405.5,12853.91348,51629.58736,26,58,17725.14
01-10-2004,1607.85,11.2,288275,2068.03602,46250.03845,27,57,18674.874
